metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
data_sent,1632418433,0.000000,,,,,::setup,,,,,,,,,,script=list-audit-logs
data_received,1632418433,0.000000,,,,,::setup,,,,,,,,,,script=list-audit-logs
iteration_duration,1632418433,35.816169,,,,,::setup,,,,,,,,,,script=list-audit-logs
vus,1632418434,200.000000,,,,,,,,,,,,,,,script=list-audit-logs
vus_max,1632418434,200.000000,,,,,,,,,,,,,,,script=list-audit-logs
success,1632418434,1.000000,,,,,,,,,default,,,,,,script=list-audit-logs
data_sent,1632418434,0.000000,,,,,,,,,default,,,,,,script=list-audit-logs
data_received,1632418434,0.000000,,,,,,,,,default,,,,,,script=list-audit-logs
iteration_duration,1632418434,1086.923553,,,,,,,,,default,,,,,,script=list-audit-logs
iterations,1632418434,1.000000,,,,,,,,,default,,,,,,script=list-audit-logs
success,1632418435,1.000000,,,,,,,,,default,,,,,,script=list-audit-logs
data_sent,1632418435,0.000000,,,,,,,,,default,,,,,,script=list-audit-logs
data_received,1632418435,0.000000,,,,,,,,,default,,,,,,script=list-audit-logs
iteration_duration,1632418435,1464.279149,,,,,,,,,default,,,,,,script=list-audit-logs
iterations,1632418435,1.000000,,,,,,,,,default,,,,,,script=list-audit-logs
success,1632418435,1.000000,,,,,,,,,default,,,,,,script=list-audit-logs
data_sent,1632418435,0.000000,,,,,,,,,default,,,,,,script=list-audit-logs
data_received,1632418435,0.000000,,,,,,,,,default,,,,,,script=list-audit-logs
iteration_duration,1632418435,1481.534326,,,,,,,,,default,,,,,,script=list-audit-logs
iterations,1632418435,1.000000,,,,,,,,,default,,,,,,script=list-audit-logs
success,1632418435,1.000000,,,,,,,,,default,,,,,,script=list-audit-logs
data_sent,1632418435,0.000000,,,,,,,,,default,,,,,,script=list-audit-logs
data_received,1632418435,0.000000,,,,,,,,,default,,,,,,script=list-audit-logs
iteration_duration,1632418435,1495.153686,,,,,,,,,default,,,,,,script=list-audit-logs
iterations,1632418435,1.000000,,,,,,,,,default,,,,,,script=list-audit-logs
success,1632418435,1.000000,,,,,,,,,default,,,,,,script=list-audit-logs
data_sent,1632418435,0.000000,,,,,,,,,default,,,,,,script=list-audit-logs
data_received,1632418435,0.000000,,,,,,,,,default,,,,,,script=list-audit-logs
iteration_duration,1632418435,1612.697098,,,,,,,,,default,,,,,,script=list-audit-logs
iterations,1632418435,1.000000,,,,,,,,,default,,,,,,script=list-audit-logs
success,1632418435,1.000000,,,,,,,,,default,,,,,,script=list-audit-logs
data_sent,1632418435,0.000000,,,,,,,,,default,,,,,,script=list-audit-logs
data_received,1632418435,0.000000,,,,,,,,,default,,,,,,script=list-audit-logs
