metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
data_sent,1631550908,0.000000,,,,,::setup,,,,,,,,,,script=push-artifacts-to-same-project
data_received,1631550908,0.000000,,,,,::setup,,,,,,,,,,script=push-artifacts-to-same-project
iteration_duration,1631550908,13.956295,,,,,::setup,,,,,,,,,,script=push-artifacts-to-same-project
vus,1631550909,100.000000,,,,,,,,,,,,,,,script=push-artifacts-to-same-project
vus_max,1631550909,100.000000,,,,,,,,,,,,,,,script=push-artifacts-to-same-project
vus,1631550910,100.000000,,,,,,,,,,,,,,,script=push-artifacts-to-same-project
vus_max,1631550910,100.000000,,,,,,,,,,,,,,,script=push-artifacts-to-same-project
vus,1631550911,100.000000,,,,,,,,,,,,,,,script=push-artifacts-to-same-project
vus_max,1631550911,100.000000,,,,,,,,,,,,,,,script=push-artifacts-to-same-project
vus,1631550912,100.000000,,,,,,,,,,,,,,,script=push-artifacts-to-same-project
vus_max,1631550912,100.000000,,,,,,,,,,,,,,,script=push-artifacts-to-same-project
vus,1631550913,100.000000,,,,,,,,,,,,,,,script=push-artifacts-to-same-project
vus_max,1631550913,100.000000,,,,,,,,,,,,,,,script=push-artifacts-to-same-project
success,1631550914,1.000000,,,,,,,,,default,,,,,,script=push-artifacts-to-same-project
data_sent,1631550914,0.000000,,,,,,,,,default,,,,,,script=push-artifacts-to-same-project
data_received,1631550914,0.000000,,,,,,,,,default,,,,,,script=push-artifacts-to-same-project
iteration_duration,1631550914,5458.601797,,,,,,,,,default,,,,,,script=push-artifacts-to-same-project
iterations,1631550914,1.000000,,,,,,,,,default,,,,,,script=push-artifacts-to-same-project
success,1631550914,1.000000,,,,,,,,,default,,,,,,script=push-artifacts-to-same-project
data_sent,1631550914,0.000000,,,,,,,,,default,,,,,,script=push-artifacts-to-same-project
data_received,1631550914,0.000000,,,,,,,,,default,,,,,,script=push-artifacts-to-same-project
iteration_duration,1631550914,5865.629573,,,,,,,,,default,,,,,,script=push-artifacts-to-same-project
iterations,1631550914,1.000000,,,,,,,,,default,,,,,,script=push-artifacts-to-same-project
