metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
data_sent,1632418299,0.000000,,,,,::setup,,,,,,,,,,script=get-catalog
data_received,1632418299,0.000000,,,,,::setup,,,,,,,,,,script=get-catalog
iteration_duration,1632418299,0.059948,,,,,::setup,,,,,,,,,,script=get-catalog
vus,1632418300,100.000000,,,,,,,,,,,,,,,script=get-catalog
vus_max,1632418300,100.000000,,,,,,,,,,,,,,,script=get-catalog
success,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418301,1545.896104,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418301,1801.705373,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418301,1863.588041,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418301,1932.739630,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
vus,1632418301,100.000000,,,,,,,,,,,,,,,script=get-catalog
vus_max,1632418301,100.000000,,,,,,,,,,,,,,,script=get-catalog
success,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418301,2077.290162,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418301,2114.830272,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418301,2184.529700,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418301,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418301,2184.983759,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418301,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418302,2206.740003,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418302,2207.932538,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418302,2211.197435,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418302,2219.127218,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418302,2225.984863,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418302,2227.212292,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418302,2229.136060,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418302,2229.530277,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418302,2231.465761,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418302,2232.906809,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418302,2233.069734,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
data_sent,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
data_received,1632418302,0.000000,,,,,,,,,default,,,,,,script=get-catalog
iteration_duration,1632418302,2244.516370,,,,,,,,,default,,,,,,script=get-catalog
iterations,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
success,1632418302,1.000000,,,,,,,,,default,,,,,,script=get-catalog
