metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
data_sent,1632418309,0.000000,,,,,::setup,,,,,,,,,,script=list-artifacts
data_received,1632418309,0.000000,,,,,::setup,,,,,,,,,,script=list-artifacts
iteration_duration,1632418309,0.058590,,,,,::setup,,,,,,,,,,script=list-artifacts
vus,1632418310,100.000000,,,,,,,,,,,,,,,script=list-artifacts
vus_max,1632418310,100.000000,,,,,,,,,,,,,,,script=list-artifacts
success,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_sent,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_received,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
iteration_duration,1632418311,1393.247935,,,,,,,,,default,,,,,,script=list-artifacts
iterations,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
success,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_sent,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_received,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
iteration_duration,1632418311,1459.569892,,,,,,,,,default,,,,,,script=list-artifacts
iterations,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
success,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_sent,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_received,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
iteration_duration,1632418311,1465.094695,,,,,,,,,default,,,,,,script=list-artifacts
iterations,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
success,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_sent,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_received,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
iteration_duration,1632418311,1479.953791,,,,,,,,,default,,,,,,script=list-artifacts
iterations,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
success,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_sent,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_received,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
iteration_duration,1632418311,1489.421669,,,,,,,,,default,,,,,,script=list-artifacts
iterations,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
success,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_sent,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_received,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
iteration_duration,1632418311,1494.076287,,,,,,,,,default,,,,,,script=list-artifacts
iterations,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
success,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_sent,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_received,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
iteration_duration,1632418311,1503.805934,,,,,,,,,default,,,,,,script=list-artifacts
iterations,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
success,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_sent,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
data_received,1632418311,0.000000,,,,,,,,,default,,,,,,script=list-artifacts
iteration_duration,1632418311,1516.271746,,,,,,,,,default,,,,,,script=list-artifacts
iterations,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
success,1632418311,1.000000,,,,,,,,,default,,,,,,script=list-artifacts
